Credit used (%),Months since last late payment,On-time payment rate (%),Number of loans,Loans not paid off (%),Months since last credit application,CreditScore
72.0,76.0,93.0,30.0,91.0,0.0,Bad
62.0,1.0,91.0,32.0,94.0,0.0,Bad
89.0,9.0,92.0,26.0,100.0,0.0,Good
28.0,31.0,83.0,18.0,40.0,0.0,Good
31.0,5.0,95.0,19.0,62.0,0.0,Bad
84.0,2.0,60.0,15.0,88.0,0.0,Bad
71.0,32.0,97.0,36.0,82.0,0.0,Bad
62.0,0.0,87.0,15.0,86.0,0.0,Bad
25.0,23.0,79.0,20.0,70.0,0.0,Bad
44.0,1.0,97.0,31.0,56.0,0.0,Bad
14.0,1.0,85.0,20.0,50.0,0.0,Bad
24.0,0.0,90.0,20.0,82.0,0.0,Bad
63.0,13.0,93.0,28.0,91.0,0.0,Bad
79.0,4.0,55.0,22.0,91.0,0.0,Bad
19.0,3.0,82.0,17.0,63.0,0.0,Bad
5.0,37.0,83.0,18.0,22.0,0.0,Good
62.0,4.0,64.0,12.0,100.0,0.0,Bad
31.0,70.0,88.0,26.0,67.0,0.0,Bad
79.0,2.0,84.0,25.0,100.0,0.0,Bad
97.0,5.0,89.0,19.0,100.0,0.0,Bad
74.0,17.0,95.0,20.0,86.0,0.0,Bad
10.0,23.0,98.0,43.0,67.0,0.0,Bad
79.0,4.0,50.0,22.0,88.0,0.0,Bad
37.0,5.0,79.0,14.0,70.0,0.0,Bad
63.0,7.0,76.0,43.0,86.0,0.0,Bad
36.0,3.0,98.0,44.0,47.0,0.0,Bad
66.0,30.0,96.0,23.0,78.0,0.0,Bad
34.0,9.0,89.0,19.0,64.0,0.0,Good
22.0,32.0,93.0,40.0,60.0,0.0,Good
49.0,8.0,95.0,21.0,67.0,0.0,Bad
85.0,51.0,87.0,31.0,100.0,0.0,Good
59.0,45.0,93.0,16.0,83.0,0.0,Bad
40.0,16.0,80.0,6.0,100.0,0.0,Bad
81.0,18.0,73.0,15.0,86.0,0.0,Bad
37.0,76.0,96.0,27.0,75.0,0.0,Bad
44.0,35.0,98.0,42.0,69.0,0.0,Good
63.0,15.0,89.0,27.0,94.0,0.0,Bad
83.0,15.0,92.0,14.0,100.0,0.0,Good
4.0,2.0,97.0,30.0,86.0,2.0,Good
16.0,31.0,88.0,24.0,63.0,2.0,Bad
12.0,3.0,88.0,40.0,89.0,2.0,Bad
97.0,22.0,82.0,34.0,100.0,19.0,Bad
48.0,1.0,85.0,33.0,62.0,0.0,Bad
43.0,50.0,97.0,33.0,76.0,1.0,Bad
75.0,5.0,85.0,27.0,88.0,5.0,Good
42.0,1.0,81.0,26.0,69.0,3.0,Bad
69.0,36.0,88.0,33.0,100.0,0.0,Good
44.0,2.0,98.0,59.0,92.0,1.0,Bad
17.0,2.0,78.0,32.0,67.0,0.0,Good
11.0,21.0,68.0,31.0,56.0,0.0,Good
13.0,9.0,83.0,24.0,31.0,0.0,Good
18.0,11.0,94.0,32.0,79.0,3.0,Good
13.0,4.0,81.0,16.0,100.0,0.0,Bad
16.0,11.0,90.0,20.0,73.0,1.0,Good
93.0,26.0,80.0,10.0,100.0,3.0,Bad
45.0,24.0,79.0,49.0,65.0,4.0,Bad
80.0,36.0,97.0,37.0,83.0,4.0,Bad
52.0,3.0,71.0,28.0,82.0,5.0,Bad
56.0,4.0,88.0,33.0,78.0,12.0,Bad
6.0,7.0,96.0,25.0,56.0,4.0,Bad
39.0,19.0,83.0,23.0,100.0,5.0,Good
32.0,8.0,95.0,57.0,57.0,5.0,Bad
44.0,20.0,89.0,18.0,75.0,4.0,Bad
29.0,26.0,88.0,24.0,58.0,1.0,Bad
16.0,0.0,78.0,40.0,68.0,0.0,Bad
0.0,1.0,67.0,24.0,63.0,0.0,Bad
48.0,5.0,93.0,40.0,83.0,1.0,Bad
13.0,10.0,97.0,35.0,67.0,1.0,Good
47.0,65.0,96.0,24.0,89.0,6.0,Good
31.0,43.0,94.0,31.0,60.0,5.0,Good
9.0,2.0,38.0,24.0,62.0,3.0,Bad
19.0,60.0,98.0,60.0,57.0,0.0,Bad
34.0,17.0,97.0,35.0,71.0,0.0,Bad
57.0,2.0,86.0,29.0,67.0,0.0,Bad
56.0,10.0,96.0,26.0,67.0,0.0,Bad
68.0,41.0,64.0,11.0,100.0,0.0,Bad
43.0,17.0,93.0,30.0,73.0,0.0,Bad
94.0,1.0,69.0,16.0,83.0,0.0,Bad
59.0,71.0,97.0,36.0,75.0,0.0,Bad
64.0,78.0,88.0,26.0,90.0,0.0,Bad
35.0,6.0,97.0,33.0,59.0,0.0,Bad
50.0,71.0,82.0,17.0,90.0,0.0,Bad
35.0,8.0,95.0,19.0,73.0,0.0,Bad
37.0,2.0,89.0,35.0,95.0,0.0,Good
70.0,29.0,79.0,29.0,100.0,0.0,Bad
58.0,7.0,92.0,26.0,67.0,0.0,Bad
68.0,3.0,95.0,40.0,80.0,0.0,Bad
16.0,17.0,87.0,15.0,78.0,0.0,Bad
5.0,12.0,97.0,33.0,47.0,0.0,Bad
42.0,57.0,95.0,22.0,56.0,0.0,Bad
69.0,8.0,96.0,47.0,78.0,0.0,Bad
42.0,20.0,89.0,27.0,86.0,0.0,Good
40.0,44.0,85.0,13.0,85.0,0.0,Bad
25.0,12.0,96.0,23.0,45.0,0.0,Good
62.0,3.0,75.0,20.0,90.0,0.0,Bad
3.0,18.0,98.0,46.0,45.0,0.0,Bad
69.0,25.0,88.0,16.0,78.0,0.0,Good
75.0,39.0,90.0,43.0,71.0,0.0,Good
10.0,9.0,74.0,19.0,56.0,0.0,Bad
45.0,6.0,83.0,12.0,88.0,0.0,Bad
41.0,5.0,86.0,22.0,80.0,0.0,Bad
26.0,7.0,25.0,11.0,80.0,0.0,Good
18.0,0.0,92.0,24.0,58.0,0.0,Good
58.0,3.0,95.0,20.0,86.0,0.0,Bad
49.0,15.0,83.0,12.0,33.0,0.0,Bad
97.0,75.0,92.0,12.0,100.0,0.0,Bad
51.0,59.0,92.0,36.0,64.0,0.0,Good
94.0,63.0,88.0,35.0,100.0,0.0,Bad
52.0,47.0,91.0,24.0,88.0,0.0,Bad
40.0,0.0,97.0,34.0,50.0,0.0,Good
95.0,22.0,85.0,57.0,100.0,0.0,Bad
26.0,3.0,76.0,17.0,100.0,0.0,Bad
6.0,34.0,97.0,36.0,65.0,0.0,Good
34.0,22.0,94.0,62.0,57.0,0.0,Bad
47.0,7.0,80.0,31.0,82.0,0.0,Bad
41.0,1.0,96.0,23.0,75.0,0.0,Bad
96.0,6.0,75.0,24.0,78.0,0.0,Bad
25.0,2.0,61.0,19.0,71.0,0.0,Good
1.0,1.0,95.0,20.0,67.0,0.0,Bad
38.0,44.0,93.0,59.0,62.0,0.0,Bad
39.0,6.0,89.0,45.0,64.0,0.0,Bad
74.0,28.0,93.0,14.0,100.0,0.0,Bad
1.0,5.0,78.0,40.0,39.0,0.0,Bad
51.0,13.0,78.0,18.0,83.0,0.0,Bad
10.0,71.0,98.0,41.0,55.0,0.0,Bad
93.0,45.0,97.0,36.0,100.0,0.0,Bad
21.0,12.0,89.0,28.0,63.0,0.0,Bad
73.0,68.0,97.0,34.0,71.0,0.0,Good
30.0,50.0,75.0,9.0,75.0,0.0,Bad
34.0,0.0,96.0,23.0,67.0,0.0,Bad
16.0,7.0,93.0,27.0,46.0,0.0,Bad
73.0,59.0,96.0,25.0,91.0,0.0,Bad
27.0,10.0,50.0,10.0,60.0,0.0,Bad
49.0,79.0,96.0,28.0,83.0,0.0,Bad
82.0,33.0,83.0,13.0,100.0,0.0,Bad
69.0,1.0,75.0,12.0,100.0,0.0,Bad
40.0,1.0,95.0,42.0,55.0,0.0,Good
20.0,4.0,75.0,12.0,71.0,0.0,Bad
28.0,29.0,86.0,35.0,40.0,0.0,Bad
74.0,5.0,86.0,14.0,75.0,0.0,Good
48.0,54.0,86.0,9.0,100.0,0.0,Bad
72.0,21.0,89.0,19.0,91.0,0.0,Bad
72.0,25.0,92.0,25.0,90.0,0.0,Bad
82.0,38.0,97.0,39.0,91.0,0.0,Bad
79.0,1.0,88.0,26.0,75.0,0.0,Bad
46.0,62.0,95.0,22.0,92.0,0.0,Bad
104.0,12.0,27.0,11.0,100.0,0.0,Bad
33.0,0.0,96.0,26.0,63.0,0.0,Bad
65.0,23.0,96.0,23.0,73.0,0.0,Good
70.0,6.0,95.0,20.0,83.0,0.0,Bad
39.0,25.0,97.0,32.0,80.0,0.0,Good
47.0,12.0,93.0,14.0,89.0,0.0,Bad
65.0,4.0,89.0,18.0,75.0,0.0,Bad
30.0,12.0,88.0,48.0,39.0,0.0,Good
2.0,26.0,92.0,26.0,58.0,0.0,Bad
25.0,79.0,95.0,22.0,63.0,0.0,Good
78.0,16.0,67.0,40.0,78.0,0.0,Bad
53.0,9.0,92.0,24.0,87.0,0.0,Bad
75.0,3.0,84.0,25.0,56.0,7.0,Bad
7.0,70.0,96.0,24.0,44.0,19.0,Good
39.0,23.0,93.0,55.0,77.0,1.0,Good
9.0,11.0,88.0,17.0,33.0,0.0,Bad
52.0,34.0,89.0,19.0,67.0,2.0,Good
81.0,5.0,89.0,37.0,90.0,5.0,Bad
55.0,52.0,95.0,19.0,89.0,4.0,Bad
59.0,44.0,78.0,27.0,90.0,8.0,Good
0.0,5.0,87.0,16.0,50.0,7.0,Good
1.0,59.0,96.0,26.0,42.0,8.0,Good
3.0,41.0,96.0,24.0,45.0,2.0,Bad
63.0,6.0,97.0,68.0,100.0,1.0,Bad
6.0,5.0,92.0,28.0,25.0,2.0,Good
54.0,7.0,91.0,34.0,57.0,11.0,Bad
58.0,11.0,96.0,56.0,69.0,2.0,Bad
7.0,72.0,93.0,30.0,58.0,0.0,Bad
62.0,1.0,94.0,32.0,89.0,9.0,Bad
35.0,7.0,93.0,60.0,41.0,4.0,Good
9.0,56.0,93.0,14.0,43.0,4.0,Good
1.0,82.0,92.0,13.0,50.0,12.0,Good
9.0,39.0,99.0,71.0,82.0,1.0,Good
9.0,42.0,92.0,25.0,63.0,7.0,Good
62.0,1.0,86.0,51.0,65.0,11.0,Good
100.0,8.0,94.0,33.0,100.0,7.0,Bad
86.0,60.0,90.0,10.0,100.0,12.0,Bad
63.0,22.0,97.0,30.0,56.0,1.0,Good
2.0,20.0,92.0,13.0,20.0,2.0,Good
84.0,1.0,80.0,15.0,82.0,13.0,Bad
4.0,33.0,96.0,23.0,45.0,3.0,Bad
59.0,2.0,79.0,24.0,82.0,1.0,Good
50.0,27.0,92.0,12.0,88.0,0.0,Bad
48.0,11.0,96.0,24.0,78.0,3.0,Good
4.0,44.0,95.0,22.0,63.0,2.0,Good
82.0,81.0,95.0,22.0,90.0,1.0,Bad
16.0,0.0,79.0,24.0,80.0,3.0,Bad
59.0,57.0,93.0,15.0,88.0,0.0,Bad
52.0,2.0,76.0,23.0,82.0,7.0,Good
20.0,81.0,95.0,20.0,40.0,1.0,Good
2.0,66.0,97.0,34.0,44.0,10.0,Good
49.0,46.0,92.0,12.0,75.0,5.0,Bad
53.0,23.0,93.0,15.0,100.0,5.0,Bad
8.0,62.0,97.0,34.0,33.0,20.0,Good
89.0,1.0,67.0,9.0,86.0,11.0,Good
65.0,73.0,90.0,42.0,87.0,1.0,Good
22.0,12.0,95.0,19.0,82.0,3.0,Good
38.0,16.0,96.0,27.0,70.0,0.0,Bad
69.0,41.0,97.0,35.0,67.0,3.0,Good
19.0,6.0,96.0,49.0,75.0,1.0,Bad
23.0,14.0,89.0,9.0,71.0,13.0,Good
63.0,3.0,62.0,34.0,88.0,5.0,Bad
42.0,29.0,96.0,28.0,73.0,6.0,Good
9.0,77.0,97.0,32.0,50.0,2.0,Good
31.0,67.0,98.0,64.0,59.0,0.0,Good
28.0,41.0,94.0,34.0,77.0,8.0,Good
57.0,3.0,89.0,27.0,92.0,0.0,Bad
3.0,11.0,83.0,19.0,38.0,3.0,Bad
79.0,26.0,93.0,14.0,100.0,7.0,Good
15.0,61.0,98.0,58.0,59.0,12.0,Good
45.0,1.0,88.0,42.0,83.0,3.0,Good
50.0,19.0,94.0,16.0,88.0,0.0,Bad
47.0,51.0,70.0,10.0,86.0,2.0,Good
15.0,8.0,97.0,38.0,10.0,3.0,Good
21.0,0.0,86.0,22.0,55.0,14.0,Bad
37.0,23.0,85.0,13.0,86.0,16.0,Good
58.0,31.0,95.0,63.0,77.0,0.0,Good
31.0,22.0,88.0,17.0,83.0,10.0,Good
92.0,25.0,94.0,32.0,89.0,11.0,Bad
21.0,2.0,74.0,50.0,53.0,2.0,Bad
10.0,62.0,98.0,43.0,47.0,0.0,Good
5.0,72.0,98.0,51.0,38.0,5.0,Good
36.0,6.0,82.0,17.0,70.0,0.0,Bad
16.0,12.0,81.0,22.0,55.0,23.0,Good
23.0,1.0,55.0,11.0,80.0,8.0,Good
5.0,6.0,97.0,39.0,47.0,1.0,Bad
0.0,52.0,95.0,22.0,67.0,8.0,Good
94.0,1.0,94.0,35.0,86.0,0.0,Bad
39.0,78.0,93.0,28.0,64.0,0.0,Good
45.0,35.0,96.0,26.0,84.0,7.0,Bad
3.0,25.0,90.0,40.0,59.0,0.0,Good
55.0,10.0,97.0,39.0,80.0,2.0,Good
36.0,5.0,88.0,25.0,85.0,3.0,Bad
8.0,38.0,93.0,46.0,42.0,0.0,Bad
21.0,58.0,98.0,45.0,100.0,5.0,Good
0.0,18.0,98.0,47.0,40.0,5.0,Good
36.0,1.0,75.0,14.0,75.0,0.0,Bad
6.0,24.0,98.0,67.0,52.0,1.0,Good
0.0,36.0,94.0,17.0,50.0,1.0,Good
19.0,13.0,89.0,19.0,80.0,20.0,Bad
22.0,14.0,96.0,26.0,33.0,17.0,Good
18.0,0.0,86.0,37.0,64.0,2.0,Bad
60.0,2.0,93.0,44.0,86.0,7.0,Bad
59.0,5.0,76.0,17.0,83.0,15.0,Bad
33.0,2.0,77.0,26.0,67.0,7.0,Bad
64.0,22.0,97.0,36.0,71.0,0.0,Bad
16.0,13.0,91.0,23.0,83.0,0.0,Bad
16.0,11.0,38.0,13.0,83.0,0.0,Bad
29.0,24.0,95.0,39.0,81.0,0.0,Bad
30.0,31.0,84.0,44.0,35.0,0.0,Good
89.0,4.0,94.0,17.0,75.0,0.0,Bad
46.0,1.0,70.0,24.0,72.0,4.0,Bad
79.0,3.0,91.0,33.0,91.0,16.0,Bad
98.0,3.0,79.0,14.0,86.0,16.0,Bad
13.0,55.0,89.0,9.0,100.0,0.0,Bad
21.0,67.0,98.0,44.0,59.0,6.0,Good
61.0,25.0,82.0,33.0,88.0,0.0,Bad
10.0,3.0,94.0,17.0,50.0,0.0,Bad
14.0,2.0,97.0,30.0,69.0,1.0,Good
6.0,2.0,95.0,42.0,48.0,0.0,Good
61.0,43.0,97.0,32.0,62.0,1.0,Good
14.0,21.0,93.0,29.0,46.0,0.0,Good
46.0,77.0,96.0,46.0,60.0,0.0,Bad
56.0,7.0,75.0,4.0,100.0,0.0,Bad
35.0,23.0,84.0,20.0,57.0,0.0,Bad
19.0,3.0,81.0,27.0,44.0,0.0,Bad
0.0,30.0,94.0,16.0,45.0,0.0,Bad
93.0,12.0,57.0,7.0,83.0,0.0,Bad
19.0,25.0,95.0,19.0,78.0,0.0,Good
39.0,17.0,95.0,22.0,83.0,0.0,Bad
51.0,54.0,95.0,44.0,64.0,0.0,Bad
8.0,12.0,60.0,25.0,60.0,0.0,Bad
7.0,4.0,92.0,26.0,40.0,0.0,Bad
85.0,6.0,90.0,29.0,100.0,0.0,Good
36.0,2.0,89.0,28.0,73.0,0.0,Bad
45.0,13.0,94.0,52.0,70.0,0.0,Good
11.0,66.0,78.0,18.0,83.0,0.0,Good
44.0,2.0,38.0,13.0,83.0,0.0,Bad
48.0,4.0,94.0,17.0,50.0,0.0,Bad
67.0,1.0,78.0,42.0,64.0,0.0,Bad
8.0,70.0,97.0,30.0,50.0,0.0,Good
24.0,10.0,84.0,32.0,85.0,0.0,Bad
24.0,55.0,78.0,18.0,57.0,0.0,Bad
33.0,24.0,98.0,55.0,67.0,0.0,Good
98.0,31.0,81.0,16.0,80.0,0.0,Bad
45.0,18.0,97.0,34.0,71.0,0.0,Bad
97.0,10.0,75.0,4.0,100.0,0.0,Bad
51.0,25.0,89.0,18.0,56.0,0.0,Good
39.0,21.0,94.0,16.0,73.0,0.0,Bad
71.0,49.0,97.0,33.0,82.0,0.0,Bad
64.0,2.0,80.0,41.0,69.0,0.0,Bad
16.0,22.0,93.0,28.0,50.0,0.0,Good
12.0,28.0,97.0,37.0,42.0,0.0,Bad
44.0,62.0,98.0,47.0,50.0,0.0,Bad
7.0,73.0,92.0,15.0,71.0,0.0,Good
34.0,31.0,95.0,22.0,50.0,0.0,Bad
38.0,8.0,71.0,28.0,42.0,0.0,Bad
12.0,1.0,97.0,63.0,71.0,0.0,Good
12.0,34.0,91.0,22.0,25.0,0.0,Bad
60.0,5.0,57.0,14.0,100.0,0.0,Bad
6.0,29.0,97.0,37.0,57.0,0.0,Good
63.0,15.0,80.0,5.0,100.0,0.0,Bad
64.0,0.0,82.0,17.0,55.0,0.0,Bad
72.0,2.0,94.0,34.0,79.0,0.0,Bad
66.0,2.0,90.0,31.0,57.0,0.0,Bad
48.0,1.0,78.0,18.0,88.0,0.0,Bad
66.0,24.0,80.0,20.0,67.0,0.0,Bad
0.0,24.0,96.0,26.0,40.0,0.0,Good
65.0,9.0,93.0,14.0,71.0,0.0,Bad
69.0,25.0,66.0,41.0,88.0,0.0,Bad
64.0,4.0,88.0,43.0,93.0,0.0,Bad
0.0,67.0,93.0,15.0,38.0,0.0,Bad
31.0,0.0,89.0,27.0,67.0,0.0,Bad
11.0,6.0,76.0,25.0,86.0,0.0,Bad
5.0,49.0,96.0,25.0,46.0,0.0,Good
81.0,52.0,92.0,26.0,90.0,0.0,Bad
54.0,1.0,90.0,30.0,55.0,0.0,Good
50.0,9.0,93.0,15.0,71.0,0.0,Good
25.0,2.0,95.0,39.0,47.0,0.0,Bad
41.0,14.0,98.0,57.0,56.0,0.0,Bad
35.0,12.0,97.0,39.0,46.0,0.0,Bad
16.0,15.0,97.0,33.0,75.0,0.0,Bad
88.0,44.0,96.0,51.0,90.0,0.0,Bad
13.0,48.0,94.0,19.0,80.0,0.0,Bad
77.0,57.0,96.0,26.0,71.0,0.0,Good
3.0,4.0,71.0,34.0,52.0,0.0,Good
58.0,18.0,98.0,40.0,56.0,0.0,Bad
24.0,1.0,95.0,22.0,100.0,0.0,Good
56.0,9.0,80.0,5.0,75.0,0.0,Bad
75.0,3.0,93.0,45.0,80.0,0.0,Bad
21.0,26.0,61.0,28.0,50.0,0.0,Good
23.0,41.0,86.0,22.0,69.0,0.0,Good
61.0,56.0,83.0,18.0,100.0,0.0,Bad
24.0,8.0,95.0,19.0,57.0,0.0,Good
56.0,6.0,82.0,22.0,75.0,0.0,Bad
29.0,25.0,93.0,30.0,56.0,0.0,Bad
0.0,17.0,95.0,22.0,57.0,0.0,Bad
60.0,10.0,89.0,37.0,77.0,0.0,Bad
73.0,23.0,90.0,30.0,86.0,0.0,Bad
52.0,1.0,88.0,24.0,73.0,0.0,Good
31.0,59.0,96.0,23.0,61.0,0.0,Good
9.0,5.0,96.0,23.0,92.0,0.0,Good
44.0,4.0,85.0,21.0,89.0,0.0,Bad
36.0,28.0,85.0,29.0,63.0,0.0,Bad
23.0,23.0,82.0,22.0,41.0,0.0,Good
84.0,2.0,89.0,20.0,80.0,0.0,Bad
39.0,4.0,93.0,15.0,67.0,0.0,Bad
39.0,2.0,94.0,31.0,100.0,0.0,Good
61.0,4.0,76.0,17.0,100.0,0.0,Bad
38.0,4.0,87.0,46.0,77.0,0.0,Bad
34.0,59.0,96.0,23.0,100.0,0.0,Good
38.0,43.0,97.0,33.0,58.0,0.0,Bad
49.0,21.0,85.0,26.0,64.0,0.0,Bad
24.0,63.0,98.0,46.0,47.0,0.0,Good
77.0,38.0,85.0,26.0,70.0,0.0,Bad
101.0,10.0,72.0,18.0,100.0,0.0,Bad
40.0,10.0,87.0,23.0,64.0,0.0,Bad
61.0,80.0,94.0,36.0,84.0,0.0,Bad
38.0,57.0,70.0,11.0,100.0,0.0,Bad
78.0,36.0,98.0,53.0,75.0,0.0,Bad
59.0,18.0,96.0,23.0,90.0,0.0,Bad
27.0,0.0,65.0,23.0,50.0,0.0,Bad
38.0,31.0,94.0,17.0,78.0,0.0,Bad
84.0,31.0,90.0,10.0,60.0,0.0,Bad
36.0,5.0,88.0,26.0,86.0,0.0,Bad
19.0,3.0,90.0,39.0,64.0,0.0,Good
4.0,2.0,75.0,20.0,60.0,0.0,Bad
1.0,73.0,97.0,29.0,55.0,0.0,Bad
26.0,1.0,79.0,14.0,71.0,0.0,Bad
11.0,39.0,95.0,21.0,60.0,0.0,Good
54.0,17.0,96.0,24.0,70.0,0.0,Bad
86.0,1.0,75.0,16.0,71.0,0.0,Bad
6.0,30.0,97.0,36.0,55.0,0.0,Good
16.0,22.0,96.0,53.0,39.0,0.0,Good
4.0,3.0,83.0,6.0,80.0,0.0,Good
43.0,5.0,94.0,17.0,67.0,0.0,Good
35.0,80.0,94.0,33.0,46.0,0.0,Bad
5.0,9.0,88.0,17.0,45.0,0.0,Good
22.0,15.0,91.0,22.0,50.0,0.0,Bad
43.0,1.0,86.0,36.0,53.0,0.0,Bad
74.0,2.0,92.0,25.0,82.0,0.0,Bad
59.0,20.0,95.0,20.0,73.0,0.0,Bad
43.0,1.0,85.0,13.0,75.0,0.0,Bad
30.0,8.0,81.0,21.0,82.0,0.0,Bad
65.0,24.0,94.0,31.0,79.0,0.0,Bad
55.0,4.0,97.0,30.0,70.0,0.0,Bad
13.0,19.0,96.0,53.0,25.0,0.0,Good
55.0,14.0,90.0,10.0,86.0,0.0,Bad
26.0,79.0,95.0,20.0,75.0,0.0,Good
62.0,47.0,92.0,24.0,73.0,0.0,Good
9.0,42.0,75.0,9.0,100.0,0.0,Bad
31.0,25.0,90.0,10.0,56.0,0.0,Bad
2.0,3.0,95.0,78.0,70.0,0.0,Good
5.0,22.0,96.0,26.0,37.0,0.0,Bad
61.0,61.0,83.0,24.0,90.0,0.0,Bad
3.0,33.0,92.0,24.0,50.0,0.0,Good
22.0,1.0,86.0,28.0,50.0,0.0,Bad
37.0,17.0,96.0,25.0,43.0,0.0,Good
22.0,5.0,81.0,18.0,50.0,0.0,Bad
54.0,7.0,93.0,28.0,77.0,0.0,Bad
68.0,9.0,80.0,5.0,100.0,0.0,Bad
69.0,11.0,83.0,6.0,100.0,0.0,Good
70.0,50.0,92.0,12.0,83.0,0.0,Bad
0.0,37.0,88.0,25.0,50.0,0.0,Bad
13.0,78.0,98.0,49.0,75.0,0.0,Good
84.0,12.0,95.0,44.0,73.0,0.0,Bad
68.0,24.0,67.0,16.0,83.0,0.0,Bad
63.0,8.0,68.0,25.0,90.0,0.0,Bad
42.0,65.0,94.0,18.0,85.0,0.0,Bad
75.0,41.0,92.0,14.0,86.0,0.0,Bad
1.0,14.0,90.0,20.0,64.0,0.0,Bad
4.0,3.0,80.0,25.0,33.0,0.0,Bad
67.0,24.0,98.0,66.0,93.0,0.0,Bad
38.0,6.0,85.0,28.0,83.0,0.0,Bad
95.0,47.0,78.0,9.0,100.0,0.0,Bad
22.0,4.0,97.0,34.0,81.0,0.0,Bad
115.0,8.0,78.0,9.0,75.0,0.0,Bad
53.0,11.0,91.0,22.0,67.0,0.0,Bad
48.0,13.0,79.0,15.0,100.0,0.0,Bad
39.0,21.0,95.0,21.0,57.0,0.0,Bad
86.0,2.0,96.0,47.0,84.0,0.0,Bad
24.0,6.0,93.0,29.0,67.0,0.0,Bad
17.0,1.0,96.0,46.0,50.0,0.0,Bad
8.0,28.0,89.0,10.0,88.0,0.0,Good
19.0,1.0,95.0,44.0,56.0,0.0,Bad
83.0,5.0,81.0,21.0,89.0,0.0,Bad
0.0,18.0,96.0,25.0,22.0,0.0,Good
55.0,3.0,91.0,35.0,61.0,0.0,Bad
48.0,5.0,71.0,21.0,100.0,0.0,Good
0.0,3.0,25.0,8.0,40.0,0.0,Bad
20.0,10.0,80.0,20.0,78.0,0.0,Bad
87.0,1.0,78.0,18.0,100.0,0.0,Bad
56.0,58.0,74.0,19.0,89.0,0.0,Good
8.0,5.0,85.0,13.0,43.0,0.0,Good
96.0,63.0,94.0,16.0,91.0,0.0,Bad
11.0,67.0,80.0,10.0,100.0,0.0,Bad
29.0,20.0,93.0,28.0,62.0,0.0,Bad
50.0,76.0,98.0,42.0,80.0,0.0,Bad
9.0,33.0,91.0,24.0,53.0,0.0,Bad
93.0,8.0,84.0,20.0,100.0,0.0,Good
59.0,8.0,90.0,12.0,100.0,0.0,Bad
45.0,2.0,95.0,22.0,70.0,0.0,Bad
25.0,8.0,71.0,17.0,75.0,0.0,Bad
59.0,21.0,94.0,35.0,80.0,0.0,Bad
86.0,2.0,79.0,15.0,100.0,0.0,Bad
43.0,10.0,80.0,15.0,100.0,0.0,Bad
43.0,21.0,94.0,52.0,64.0,0.0,Bad
22.0,23.0,59.0,27.0,63.0,0.0,Bad
17.0,4.0,86.0,43.0,48.0,0.0,Bad
60.0,13.0,74.0,31.0,100.0,0.0,Good
0.0,17.0,87.0,30.0,60.0,0.0,Good
66.0,1.0,81.0,27.0,73.0,0.0,Bad
78.0,65.0,96.0,25.0,83.0,0.0,Good
33.0,13.0,91.0,11.0,86.0,0.0,Bad
64.0,12.0,71.0,7.0,83.0,0.0,Bad
10.0,25.0,97.0,29.0,63.0,0.0,Good
38.0,9.0,85.0,27.0,73.0,0.0,Good
76.0,3.0,75.0,9.0,100.0,0.0,Bad
31.0,23.0,81.0,16.0,70.0,0.0,Bad
86.0,13.0,76.0,25.0,100.0,0.0,Bad
60.0,8.0,79.0,38.0,83.0,0.0,Bad
30.0,12.0,87.0,55.0,55.0,0.0,Bad
24.0,17.0,93.0,43.0,76.0,0.0,Bad
20.0,3.0,91.0,33.0,44.0,0.0,Bad
94.0,36.0,77.0,13.0,100.0,0.0,Bad
29.0,4.0,88.0,24.0,58.0,0.0,Bad
58.0,17.0,97.0,30.0,67.0,0.0,Good
58.0,6.0,97.0,39.0,36.0,0.0,Bad
